Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
2007,Wheelchair Women,Shelly Woods,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:50:40,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2008,Wheelchair Women,Sandra Graf,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:48:04,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
2009,Wheelchair Women,Amanda McGrory,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:50:39,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2010,Wheelchair Women,Wakako Tsuchida,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,JPN,01:52:33,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/JP-128.png,Japan
2011,Wheelchair Women,Amanda McGrory,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:46:31,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2012,Wheelchair Women,Shelly Woods,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:49:10,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2013,Wheelchair Women,Tatyana McFadden,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:46:02,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2014,Wheelchair Women,Tatyana McFadden,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:45:12,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2015,Wheelchair Women,Tatyana McFadden,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:41:14,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2016,Wheelchair Women,Tatyana McFadden,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:44:14,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2017,Wheelchair Women,Manuela Schär,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:39:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
2018,Wheelchair Women,Madison de Rozario,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,AUS,01:42:58,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/AU-128.png,Australia
2019,Wheelchair Women,Manuela Schär,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:44:09,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
2020,Wheelchair Women,Nikita den Boer,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,NLD,01:40:07,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NL-128.png,Netherlands
2021,Wheelchair Women,Manuela Schär,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:39:52,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
